domain,size,distribution,strategy,covariate,antithetic,samples,repeats,mean_l2_error,std_l2_error,ci95_low,ci95_high
sorting,n=3,Gaussian,MC,none,False,1000,24,0.08965595270197557,0.02038617894466764,0.08104762430511238,0.09826428109883877
sorting,n=3,Gaussian,MC,f(x),False,1000,24,0.09082841773489903,0.028913649039259883,0.07861925451911646,0.10303758095068159
sorting,n=3,Gaussian,MC,LOO,False,1000,24,0.072666642576856,0.015453093350249027,0.06614137353711172,0.07919191161660027
sorting,n=3,Gaussian,MC,none,True,1000,24,0.08826630472920717,0.01942510247351329,0.0800638033340911,0.09646880612432324
sorting,n=3,Gaussian,MC,f(x),True,1000,24,0.08826630472920716,0.019425102473513294,0.08006380333409109,0.09646880612432322
sorting,n=3,Gaussian,MC,LOO,True,1000,24,0.08842497249417604,0.01946921186010517,0.08020384533862701,0.09664609964972506
sorting,n=3,Gaussian,QMC-latin,none,False,1000,24,0.05766533495978763,0.01436992264682433,0.051597448794502024,0.06373322112507324
sorting,n=3,Gaussian,QMC-latin,f(x),False,1000,24,0.05766533495978765,0.01436992264682435,0.05159744879450204,0.06373322112507326
sorting,n=3,Gaussian,QMC-latin,LOO,False,1000,24,0.05771513656434971,0.014421783335993537,0.051625351550610564,0.06380492157808887
sorting,n=3,Gaussian,QMC-latin,none,True,1000,24,0.06224996445766653,0.018028571238598492,0.054637166484621524,0.06986276243071153
sorting,n=3,Gaussian,QMC-latin,f(x),True,1000,24,0.06224996445766654,0.018028571238598502,0.05463716648462154,0.06986276243071154
sorting,n=3,Gaussian,QMC-latin,LOO,True,1000,24,0.06230996239336276,0.01801764477851488,0.054701778259766055,0.06991814652695946
sorting,n=3,Gaussian,RQMC-latin,none,False,1000,24,0.05910214046425719,0.01542822700447044,0.052587371561447493,0.06561690936706689
sorting,n=3,Gaussian,RQMC-latin,f(x),False,1000,24,0.05905562232032263,0.015520385824547005,0.05250193816075787,0.0656093064798874
sorting,n=3,Gaussian,RQMC-latin,LOO,False,1000,24,0.059132802825506904,0.015479953995595118,0.05259619152997656,0.06566941412103725
sorting,n=3,Gaussian,RQMC-latin,none,True,1000,24,0.05910821419401761,0.02044610519200228,0.05047458116218341,0.0677418472258518
sorting,n=3,Gaussian,RQMC-latin,f(x),True,1000,24,0.05910821419401762,0.020446105192002278,0.050474581162183424,0.06774184722585182
sorting,n=3,Gaussian,RQMC-latin,LOO,True,1000,24,0.05912860885356728,0.02055419893584035,0.05044933183679946,0.0678078858703351
sorting,n=3,Gaussian,RQMC-cartesian,none,False,1000,24,0.1590955764957488,0.04391674778040271,0.14055116029877407,0.17763999269272351
sorting,n=3,Gaussian,RQMC-cartesian,f(x),False,1000,24,0.1730992180977753,0.05933921458560052,0.14804246531682339,0.1981559708787272
sorting,n=3,Gaussian,RQMC-cartesian,LOO,False,1000,24,0.13918929983037673,0.04215285722979132,0.12138970928989211,0.15698889037086133
sorting,n=3,Gaussian,RQMC-cartesian,none,True,1000,24,0.1583871316912638,0.053625290274019924,0.13574315754050106,0.18103110584202656
sorting,n=3,Gaussian,RQMC-cartesian,f(x),True,1000,24,0.15838713169126378,0.05362529027401992,0.13574315754050104,0.18103110584202653
sorting,n=3,Gaussian,RQMC-cartesian,LOO,True,1000,24,0.15849129861486602,0.053777074306132024,0.13578323168843565,0.1811993655412964
sorting,n=3,Logistic,MC,none,False,1000,24,0.051354396198389544,0.011665569782582234,0.04642845809603326,0.05628033430074583
sorting,n=3,Logistic,MC,f(x),False,1000,24,0.053529767832820485,0.014026633602684897,0.04760683991768163,0.05945269574795934
sorting,n=3,Logistic,MC,LOO,False,1000,24,0.04306304424261725,0.01164041017748709,0.03814773010974451,0.047978358375489985
sorting,n=3,Logistic,MC,none,True,1000,24,0.04007257808025469,0.008377605041809602,0.03653502572309865,0.04361013043741073
sorting,n=3,Logistic,MC,f(x),True,1000,24,0.04007257808025468,0.008377605041809608,0.036535025723098635,0.04361013043741073
sorting,n=3,Logistic,MC,LOO,True,1000,24,0.040063734481649925,0.00841493374046262,0.03651041959746491,0.04361704936583494
sorting,n=3,Logistic,QMC-latin,none,False,1000,24,0.02976389588955683,0.008390206508178455,0.02622102239982957,0.03330676937928409
sorting,n=3,Logistic,QMC-latin,f(x),False,1000,24,0.02976389588955683,0.008390206508178458,0.02622102239982957,0.03330676937928409
sorting,n=3,Logistic,QMC-latin,LOO,False,1000,24,0.029784827716661855,0.008408496442503468,0.026234231065009345,0.03333542436831436
sorting,n=3,Logistic,QMC-latin,none,True,1000,24,0.03430945204905143,0.008636090973436818,0.030662750655606846,0.03795615344249601
sorting,n=3,Logistic,QMC-latin,f(x),True,1000,24,0.03430945204905144,0.00863609097343682,0.030662750655606856,0.037956153442496025
sorting,n=3,Logistic,QMC-latin,LOO,True,1000,24,0.0343546273611477,0.008625303867010607,0.030712480963262647,0.03799677375903275
sorting,n=3,Logistic,RQMC-latin,none,False,1000,24,0.0342674312508378,0.007522744137197458,0.031090854995211848,0.03744400750646376
sorting,n=3,Logistic,RQMC-latin,f(x),False,1000,24,0.03426602569034931,0.007521807768928933,0.031089844828366166,0.037442206552332456
sorting,n=3,Logistic,RQMC-latin,LOO,False,1000,24,0.03425690832618305,0.007550889547424149,0.03106844730614129,0.037445369346224805
sorting,n=3,Logistic,RQMC-latin,none,True,1000,24,0.039204454385355504,0.010774708003288943,0.034654694220668913,0.043754214550042095
sorting,n=3,Logistic,RQMC-latin,f(x),True,1000,24,0.039204454385355504,0.01077470800328894,0.034654694220668913,0.043754214550042095
sorting,n=3,Logistic,RQMC-latin,LOO,True,1000,24,0.03924121212791419,0.010788030185879602,0.03468582649888655,0.04379659775694183
sorting,n=3,Logistic,RQMC-cartesian,none,False,1000,24,0.06851679549676833,0.015104539885466454,0.06213870767704849,0.07489488331648816
sorting,n=3,Logistic,RQMC-cartesian,f(x),False,1000,24,0.07227636113370232,0.01682398653907563,0.06517221466928355,0.0793805075981211
sorting,n=3,Logistic,RQMC-cartesian,LOO,False,1000,24,0.06055573423784203,0.015782927198973586,0.053891188578681776,0.06722027989700229
sorting,n=3,Logistic,RQMC-cartesian,none,True,1000,24,0.056597509840111866,0.013437898509802879,0.05092318295177857,0.06227183672844516
sorting,n=3,Logistic,RQMC-cartesian,f(x),True,1000,24,0.056597509840111866,0.01343789850980284,0.050923182951778584,0.06227183672844515
sorting,n=3,Logistic,RQMC-cartesian,LOO,True,1000,24,0.056664932056172616,0.013431558315036797,0.05099328239728946,0.062336581715055774
sorting,n=3,Gumbel,MC,none,False,1000,24,0.08627807868379693,0.019859309312356046,0.07789222782083466,0.0946639295467592
sorting,n=3,Gumbel,MC,f(x),False,1000,24,0.09297157069804683,0.03144335618399547,0.07969420583894106,0.1062489355571526
sorting,n=3,Gumbel,MC,LOO,False,1000,24,0.06769112861792287,0.01389915851450183,0.061822028711675595,0.07356022852417014
sorting,n=3,Gumbel,QMC-latin,none,False,1000,24,0.05497138392811016,0.016116006852564424,0.04816619106634241,0.061776576789877906
sorting,n=3,Gumbel,QMC-latin,f(x),False,1000,24,0.054987808532299565,0.01617466965436019,0.04815784454182208,0.06181777252277705
sorting,n=3,Gumbel,QMC-latin,LOO,False,1000,24,0.05506594795125164,0.016149526612098425,0.04824660093638655,0.06188529496611672
sorting,n=3,Gumbel,RQMC-latin,none,False,1000,24,0.06371189612492421,0.02125971230130154,0.05473470694154831,0.07268908530830012
sorting,n=3,Gumbel,RQMC-latin,f(x),False,1000,24,0.06356323824017611,0.02121084133781965,0.05460668545481599,0.07251979102553623
sorting,n=3,Gumbel,RQMC-latin,LOO,False,1000,24,0.06372487773621245,0.021314213313639425,0.05472467479368927,0.07272508067873563
sorting,n=3,Gumbel,RQMC-cartesian,none,False,1000,24,0.20542902426145584,0.08865139361713585,0.16799482380794223,0.24286322471496946
sorting,n=3,Gumbel,RQMC-cartesian,f(x),False,1000,24,0.23262402677761193,0.0928279676606761,0.19342621377864808,0.2718218397765758
sorting,n=3,Gumbel,RQMC-cartesian,LOO,False,1000,24,0.1509133733696759,0.05743585043617486,0.12666034078079844,0.17516640595855335
sorting,n=3,Cauchy,MC,none,False,1000,24,0.0679439713717488,0.01485954029520948,0.06166933780580322,0.07421860493769439
sorting,n=3,Cauchy,MC,f(x),False,1000,24,0.07308463221667048,0.017543703048646535,0.06567657612387817,0.0804926883094628
sorting,n=3,Cauchy,MC,LOO,False,1000,24,0.05450654666411,0.014282971165790434,0.048475376889147714,0.060537716439072284
sorting,n=3,Cauchy,MC,none,True,1000,24,0.05453658724219248,0.017037722917919787,0.04734218782039309,0.06173098666399187
sorting,n=3,Cauchy,MC,f(x),True,1000,24,0.05453658724219248,0.017037722917919784,0.04734218782039309,0.06173098666399187
sorting,n=3,Cauchy,MC,LOO,True,1000,24,0.05466675386911516,0.017030256014563178,0.04747550744407773,0.06185800029415259
sorting,n=3,Cauchy,QMC-latin,none,False,1000,24,0.04501850241197625,0.009202961077450686,0.04113243276678816,0.048904572057164336
sorting,n=3,Cauchy,QMC-latin,f(x),False,1000,24,0.04501850241197625,0.009202961077450686,0.04113243276678816,0.048904572057164336
sorting,n=3,Cauchy,QMC-latin,LOO,False,1000,24,0.04503128658313773,0.009208890676288085,0.04114271308795438,0.04891986007832108
sorting,n=3,Cauchy,QMC-latin,none,True,1000,24,0.04614510285162884,0.01341967279042182,0.04047847200962806,0.05181173369362962
sorting,n=3,Cauchy,QMC-latin,f(x),True,1000,24,0.04614510285162884,0.013419672790421817,0.04047847200962806,0.05181173369362962
sorting,n=3,Cauchy,QMC-latin,LOO,True,1000,24,0.04612512118167583,0.0134931409743978,0.04042746744636567,0.051822774916985996
sorting,n=3,Cauchy,RQMC-latin,none,False,1000,24,0.04599608273939065,0.009522536059243086,0.041975068414370334,0.05001709706441096
sorting,n=3,Cauchy,RQMC-latin,f(x),False,1000,24,0.046000999906378105,0.009529748289268574,0.04197694012371212,0.05002505968904409
sorting,n=3,Cauchy,RQMC-latin,LOO,False,1000,24,0.046052069938628926,0.009567512511609042,0.04201206372340972,0.05009207615384813
sorting,n=3,Cauchy,RQMC-latin,none,True,1000,24,0.04899890458415712,0.013489128920799431,0.043302944990501184,0.05469486417781306
sorting,n=3,Cauchy,RQMC-latin,f(x),True,1000,24,0.04899890458415713,0.013489128920799431,0.04330294499050119,0.054694864177813066
sorting,n=3,Cauchy,RQMC-latin,LOO,True,1000,24,0.04908190754505828,0.013514567066022396,0.04337520636473812,0.05478860872537843
sorting,n=3,Cauchy,RQMC-cartesian,none,False,1000,24,0.09218619008281077,0.024247230075665656,0.08194748278154751,0.10242489738407404
sorting,n=3,Cauchy,RQMC-cartesian,f(x),False,1000,24,0.10128098299245919,0.031297170329096895,0.08806534700610386,0.11449661897881452
sorting,n=3,Cauchy,RQMC-cartesian,LOO,False,1000,24,0.05364481695836216,0.019161582260702453,0.04555359039004145,0.06173604352668287
sorting,n=3,Cauchy,RQMC-cartesian,none,True,1000,24,0.06363136365660993,0.021867423157756617,0.05439756068421043,0.07286516662900944
sorting,n=3,Cauchy,RQMC-cartesian,f(x),True,1000,24,0.06363136365660992,0.021867423157756555,0.05439756068421044,0.0728651666290094
sorting,n=3,Cauchy,RQMC-cartesian,LOO,True,1000,24,0.06375199824075,0.02187755939234665,0.05451391511186332,0.07299008136963667
sorting,n=3,Laplace,MC,none,False,1000,24,0.08213886325269255,0.015869835109687626,0.0754376196013415,0.0888401069040436
sorting,n=3,Laplace,MC,f(x),False,1000,24,0.08218501381965156,0.02494086821187492,0.07165340882131205,0.09271661881799106
sorting,n=3,Laplace,MC,LOO,False,1000,24,0.06716530727324667,0.014478444691106249,0.06105159626761147,0.07327901827888186
sorting,n=3,Laplace,MC,none,True,1000,24,0.07220089662740957,0.015007707122254714,0.06586369769753833,0.07853809555728081
sorting,n=3,Laplace,MC,f(x),True,1000,24,0.07220089662740957,0.015007707122254714,0.06586369769753833,0.07853809555728081
sorting,n=3,Laplace,MC,LOO,True,1000,24,0.07230550414998708,0.014962516810383608,0.0659873874152638,0.07862362088471037
sorting,n=3,Laplace,QMC-latin,none,False,1000,24,0.06302780336263979,0.014718718799094428,0.05681263349939132,0.06924297322588825
sorting,n=3,Laplace,QMC-latin,f(x),False,1000,24,0.06302780336263979,0.014718718799094428,0.05681263349939132,0.06924297322588825
sorting,n=3,Laplace,QMC-latin,LOO,False,1000,24,0.06307724882227718,0.014770346272798291,0.056840278588829396,0.06931421905572496
sorting,n=3,Laplace,QMC-latin,none,True,1000,24,0.06927562014629753,0.019813531460090652,0.06090909957503304,0.07764214071756201
sorting,n=3,Laplace,QMC-latin,f(x),True,1000,24,0.06927562014629753,0.019813531460090652,0.06090909957503304,0.07764214071756201
sorting,n=3,Laplace,QMC-latin,LOO,True,1000,24,0.06936217077204311,0.019795734590281666,0.06100316515981866,0.07772117638426757
sorting,n=3,Laplace,RQMC-latin,none,False,1000,24,0.06313703210060456,0.012398221748447544,0.057901722205726765,0.06837234199548235
sorting,n=3,Laplace,RQMC-latin,f(x),False,1000,24,0.06313703210060456,0.012398221748447544,0.057901722205726765,0.06837234199548235
sorting,n=3,Laplace,RQMC-latin,LOO,False,1000,24,0.06315347512623863,0.01240911813030892,0.05791356409283189,0.06839338615964538
sorting,n=3,Laplace,RQMC-latin,none,True,1000,24,0.07156290020689254,0.014719513571549565,0.06534739474066947,0.07777840567311561
sorting,n=3,Laplace,RQMC-latin,f(x),True,1000,24,0.07156290020689254,0.014719513571549565,0.06534739474066947,0.07777840567311561
sorting,n=3,Laplace,RQMC-latin,LOO,True,1000,24,0.07156299027957076,0.014668240553676824,0.06536913550997626,0.07775684504916526
sorting,n=3,Laplace,RQMC-cartesian,none,False,1000,24,0.06680634668168206,0.016436680087411497,0.05986574538848925,0.07374694797487487
sorting,n=3,Laplace,RQMC-cartesian,f(x),False,1000,24,0.06680634668168206,0.016436680087411497,0.05986574538848925,0.07374694797487487
sorting,n=3,Laplace,RQMC-cartesian,LOO,False,1000,24,0.06686580157191709,0.016459867604220812,0.059915409049090505,0.07381619409474366
sorting,n=3,Laplace,RQMC-cartesian,none,True,1000,24,0.07440525829201494,0.021595525806110818,0.06528626750190607,0.08352424908212382
sorting,n=3,Laplace,RQMC-cartesian,f(x),True,1000,24,0.07440525829201494,0.021595525806110818,0.06528626750190607,0.08352424908212382
sorting,n=3,Laplace,RQMC-cartesian,LOO,True,1000,24,0.07440810373432945,0.021679726846367705,0.06525355796317894,0.08356264950547995
sorting,n=3,Triangular,MC,none,False,1000,24,0.3102260966227745,0.08612344786751618,0.27385935404065725,0.34659283920489176
sorting,n=3,Triangular,MC,f(x),False,1000,24,0.27315109803471377,0.10142589846229177,0.23032269726966084,0.3159794987997667
sorting,n=3,Triangular,MC,LOO,False,1000,24,0.22276779310622066,0.06925540465358951,0.19352380049073908,0.25201178572170224
sorting,n=3,Triangular,MC,none,True,1000,24,0.2226739893792676,0.07586295578416094,0.190639872622062,0.2547081061364732
sorting,n=3,Triangular,MC,f(x),True,1000,24,0.2226739893792676,0.07586295578416098,0.19063987262206197,0.2547081061364732
sorting,n=3,Triangular,MC,LOO,True,1000,24,0.22252474182223345,0.07641103962988113,0.19025918955444093,0.25479029409002596
sorting,n=3,Triangular,QMC-latin,none,False,1000,24,0.15070472582401603,0.034304273104900744,0.1362193016989664,0.16519014994906567
sorting,n=3,Triangular,QMC-latin,f(x),False,1000,24,0.1507047258240157,0.03430427310490036,0.13621930169896623,0.16519014994906517
sorting,n=3,Triangular,QMC-latin,LOO,False,1000,24,0.15043682707278946,0.034217830283171664,0.13598790455007614,0.16488574959550278
sorting,n=3,Triangular,QMC-latin,none,True,1000,24,0.15204807183335078,0.04303179331582816,0.13387733913380856,0.170218804532893
sorting,n=3,Triangular,QMC-latin,f(x),True,1000,24,0.15204807183335078,0.04303179331582817,0.13387733913380856,0.170218804532893
sorting,n=3,Triangular,QMC-latin,LOO,True,1000,24,0.1516193389523465,0.04302029738746791,0.1334534605576164,0.1697852173470766
sorting,n=3,Triangular,RQMC-latin,none,False,1000,24,0.1937632134986408,0.09551250334423786,0.15343182049824947,0.23409460649903216
sorting,n=3,Triangular,RQMC-latin,f(x),False,1000,24,0.17463915865779855,0.06851879611073165,0.14570620855077657,0.20357210876482054
sorting,n=3,Triangular,RQMC-latin,LOO,False,1000,24,0.17091513799847635,0.060089217746920505,0.14554168665773787,0.19628858933921484
sorting,n=3,Triangular,RQMC-latin,none,True,1000,24,0.2730458041531722,0.16865349193634588,0.20182968033681895,0.3442619279695255
sorting,n=3,Triangular,RQMC-latin,f(x),True,1000,24,0.27304580415315277,0.16865349193625936,0.20182968033683604,0.34426192796946953
sorting,n=3,Triangular,RQMC-latin,LOO,True,1000,24,0.27334705053634445,0.16909619284977107,0.2019439905190141,0.34475011055367477
sorting,n=3,Triangular,RQMC-cartesian,none,False,1000,24,1.0639259576425104,1.053683477650963,0.6189944466130299,1.5088574686719909
sorting,n=3,Triangular,RQMC-cartesian,f(x),False,1000,24,0.970216880880512,1.3428906877875328,0.4031638753643262,1.5372698863966976
sorting,n=3,Triangular,RQMC-cartesian,LOO,False,1000,24,0.7388528161264016,0.8850424444603027,0.36513216804636234,1.1125734642064409
sorting,n=3,Triangular,RQMC-cartesian,none,True,1000,24,0.7087474387379374,0.5023070005167197,0.49664179460386204,0.9208530828720128
sorting,n=3,Triangular,RQMC-cartesian,f(x),True,1000,24,0.7087474387379368,0.5023070005167187,0.4966417946038618,0.9208530828720117
sorting,n=3,Triangular,RQMC-cartesian,LOO,True,1000,24,0.709100888531038,0.5034202946670059,0.49652514150647087,0.9216766355556052
sorting,n=5,Gaussian,MC,none,False,1024,24,0.15502567026425798,0.02058079006433282,0.14633516479869024,0.16371617572982572
sorting,n=5,Gaussian,MC,f(x),False,1024,24,0.18618872004458167,0.03414336941707648,0.1717712395880742,0.20060620050108915
sorting,n=5,Gaussian,MC,LOO,False,1024,24,0.13343949461247626,0.012692457035141491,0.12807994005258883,0.1387990491723637
sorting,n=5,Gaussian,MC,none,True,1024,24,0.14169510131606564,0.01623961201118554,0.1348377145733433,0.14855248805878798
sorting,n=5,Gaussian,MC,f(x),True,1024,24,0.14169510131606564,0.01623961201118554,0.1348377145733433,0.14855248805878798
sorting,n=5,Gaussian,MC,LOO,True,1024,24,0.1418197008589097,0.016276771851786945,0.13494662289166018,0.1486927788261592
sorting,n=5,Gaussian,QMC-latin,none,False,1024,24,0.12634741499945265,0.0109734328529344,0.12171374069023665,0.13098108930866867
sorting,n=5,Gaussian,QMC-latin,f(x),False,1024,24,0.12634741499945265,0.010973432852934398,0.12171374069023665,0.13098108930866867
sorting,n=5,Gaussian,QMC-latin,LOO,False,1024,24,0.12646049140609186,0.01100075037858348,0.12181528191745772,0.131105700894726
sorting,n=5,Gaussian,QMC-latin,none,True,1024,24,0.12908128467231758,0.013834643567249717,0.12323942703908085,0.1349231423055543
sorting,n=5,Gaussian,QMC-latin,f(x),True,1024,24,0.12908128467231758,0.013834643567249717,0.12323942703908085,0.1349231423055543
sorting,n=5,Gaussian,QMC-latin,LOO,True,1024,24,0.1292136436934713,0.013850852108585476,0.12336494179348742,0.13506234559345517
sorting,n=5,Gaussian,RQMC-latin,none,False,1024,24,0.1227692633004945,0.015435282608217603,0.11625151507751605,0.12928701152347294
sorting,n=5,Gaussian,RQMC-latin,f(x),False,1024,24,0.12281282264132581,0.01540961201328047,0.11630591415991745,0.12931973112273418
sorting,n=5,Gaussian,RQMC-latin,LOO,False,1024,24,0.12288205289922662,0.015455194898720537,0.1163558964533905,0.12940820934506272
sorting,n=5,Gaussian,RQMC-latin,none,True,1024,24,0.12242286777900878,0.017432405531372118,0.11506180850602533,0.12978392705199224
sorting,n=5,Gaussian,RQMC-latin,f(x),True,1024,24,0.12242286777900875,0.017432405531372104,0.1150618085060253,0.12978392705199218
sorting,n=5,Gaussian,RQMC-latin,LOO,True,1024,24,0.12254626049333688,0.017442188822316067,0.11518107009889726,0.1299114508877765
sorting,n=5,Gaussian,RQMC-cartesian,none,False,1024,24,0.7084092526373521,0.17629049064403507,0.6339683070915003,0.7828501981832039
sorting,n=5,Gaussian,RQMC-cartesian,f(x),False,1024,24,0.9115616641758586,0.25975307690044586,0.8018775593652524,1.0212457689864647
sorting,n=5,Gaussian,RQMC-cartesian,LOO,False,1024,24,0.5521358659448748,0.15692398773148283,0.4858726773696919,0.6183990545200577
sorting,n=5,Logistic,MC,none,False,1024,24,0.08719081619190494,0.009464662847577729,0.08319423958092358,0.0911873928028863
sorting,n=5,Logistic,MC,f(x),False,1024,24,0.10781357151349297,0.019645518902158852,0.09951799642335074,0.1161091466036352
sorting,n=5,Logistic,MC,LOO,False,1024,24,0.07680765297343102,0.007152505910183043,0.07378741460985747,0.07982789133700458
sorting,n=5,Logistic,MC,none,True,1024,24,0.07771718378633301,0.007108780926862727,0.07471540886392665,0.08071895870873937
sorting,n=5,Logistic,MC,f(x),True,1024,24,0.07771718378633298,0.007108780926862723,0.07471540886392662,0.08071895870873934
sorting,n=5,Logistic,MC,LOO,True,1024,24,0.07779148799107925,0.0071207197837591185,0.07478467173154316,0.08079830425061535
sorting,n=5,Logistic,QMC-latin,none,False,1024,24,0.07208474228557084,0.006504588812443926,0.06933809531773748,0.0748313892534042
sorting,n=5,Logistic,QMC-latin,f(x),False,1024,24,0.07208474228557084,0.006504588812443926,0.06933809531773748,0.0748313892534042
sorting,n=5,Logistic,QMC-latin,LOO,False,1024,24,0.0721626643332474,0.006510553722806536,0.06941349860466939,0.07491183006182542
sorting,n=5,Logistic,QMC-latin,none,True,1024,24,0.07499313677267035,0.008434836541130161,0.07143141767283372,0.07855485587250698
sorting,n=5,Logistic,QMC-latin,f(x),True,1024,24,0.07499313677267035,0.008434836541130161,0.07143141767283372,0.07855485587250698
sorting,n=5,Logistic,QMC-latin,LOO,True,1024,24,0.07506987577441189,0.008447735159729042,0.0715027100656219,0.07863704148320189
sorting,n=5,Logistic,RQMC-latin,none,False,1024,24,0.07244123193682896,0.006321511021176731,0.06977189194023714,0.07511057193342077
sorting,n=5,Logistic,RQMC-latin,f(x),False,1024,24,0.07244144193764905,0.006319877899484262,0.06977279154786775,0.07511009232743035
sorting,n=5,Logistic,RQMC-latin,LOO,False,1024,24,0.07251608403727998,0.00632571535985477,0.06984496870416579,0.07518719937039417
