domain,size,distribution,strategy,covariate,antithetic,samples,repeats,mean_l2_error,std_l2_error,ci95_low,ci95_high
sorting,n=3,Gaussian,MC,none,False,1000,64,0.08829371975445977,0.02308053343256879,0.08252837404179632,0.09405906546712321
sorting,n=3,Gaussian,MC,f(x),False,1000,64,0.09055174598394869,0.027950898257014658,0.0835698193355906,0.09753367263230678
sorting,n=3,Gaussian,MC,LOO,False,1000,64,0.07168653785154219,0.017329492991564683,0.0673577592982456,0.07601531640483879
sorting,n=3,Gaussian,MC,none,True,1000,64,0.07993475033853012,0.021760605391115136,0.07449911284067252,0.08537038783638771
sorting,n=3,Gaussian,MC,f(x),True,1000,64,0.07993475033853012,0.021760605391115143,0.07449911284067252,0.08537038783638771
sorting,n=3,Gaussian,MC,LOO,True,1000,64,0.08004633371465984,0.02181624308168648,0.07459679833520713,0.08549586909411255
sorting,n=3,Gaussian,QMC-latin,none,False,1000,64,0.05621276285571985,0.01445878931599302,0.052601064744980525,0.05982446096645917
sorting,n=3,Gaussian,QMC-latin,f(x),False,1000,64,0.056212762855719856,0.014458789315993016,0.05260106474498053,0.05982446096645918
sorting,n=3,Gaussian,QMC-latin,LOO,False,1000,64,0.05626165028053297,0.014471974918793106,0.05264665850421202,0.05987664205685392
sorting,n=3,Gaussian,QMC-latin,none,True,1000,64,0.0651537862270556,0.018638324742990073,0.06049807122973253,0.06980950122437866
sorting,n=3,Gaussian,QMC-latin,f(x),True,1000,64,0.0651537862270556,0.01863832474299008,0.06049807122973253,0.06980950122437866
sorting,n=3,Gaussian,QMC-latin,LOO,True,1000,64,0.0652212341150228,0.01863010656789568,0.06056757195675932,0.06987489627328629
sorting,n=3,Gaussian,RQMC-latin,none,False,1000,64,0.05692703755814168,0.012968278084268148,0.05368765807533215,0.06016641704095121
sorting,n=3,Gaussian,RQMC-latin,f(x),False,1000,64,0.05693020424850216,0.013010755582086923,0.05368021420243812,0.060180194294566204
sorting,n=3,Gaussian,RQMC-latin,LOO,False,1000,64,0.05697492308587644,0.01299243732114215,0.0537295088052517,0.06022033736650118
sorting,n=3,Gaussian,RQMC-latin,none,True,1000,64,0.06198061530896954,0.019823890088984587,0.057028754899557915,0.06693247571838117
sorting,n=3,Gaussian,RQMC-latin,f(x),True,1000,64,0.06198061530896953,0.019823890088984587,0.05702875489955791,0.06693247571838115
sorting,n=3,Gaussian,RQMC-latin,LOO,True,1000,64,0.06206004570239746,0.019873108079107405,0.05709589100485036,0.06702420039994456
sorting,n=3,Gaussian,RQMC-cartesian,none,False,1000,64,0.03442019977103641,0.008239453005997344,0.032362045647276544,0.03647835389479627
sorting,n=3,Gaussian,RQMC-cartesian,f(x),False,1000,64,0.03640170159945903,0.0109236520766199,0.03367305449732148,0.03913034870159659
sorting,n=3,Gaussian,RQMC-cartesian,LOO,False,1000,64,0.0324962257400982,0.008765906206127393,0.030306567519643383,0.03468588396055302
sorting,n=3,Gaussian,RQMC-cartesian,none,True,1000,64,0.03441425417253266,0.008705680418906382,0.03223963990611646,0.03658886843894886
sorting,n=3,Gaussian,RQMC-cartesian,f(x),True,1000,64,0.03441425417253266,0.008705680418906393,0.03223963990611646,0.03658886843894886
sorting,n=3,Gaussian,RQMC-cartesian,LOO,True,1000,64,0.03446335356231625,0.00875169126568558,0.03227724612833573,0.03664946099629677
sorting,n=3,Logistic,MC,none,False,1000,64,0.050757190900737305,0.010377018812059127,0.048165088725407534,0.053349293076067075
sorting,n=3,Logistic,MC,f(x),False,1000,64,0.05536997944828273,0.01406470947393893,0.05185671955321426,0.0588832393433512
sorting,n=3,Logistic,MC,LOO,False,1000,64,0.03973013683880748,0.00992397837266802,0.037251200798157295,0.04220907287945767
sorting,n=3,Logistic,MC,none,True,1000,64,0.04246586309001331,0.011194577322128129,0.03966954087511432,0.0452621853049123
sorting,n=3,Logistic,MC,f(x),True,1000,64,0.04246586309001331,0.01119457732212813,0.03966954087511432,0.0452621853049123
sorting,n=3,Logistic,MC,LOO,True,1000,64,0.04246929142533376,0.011209278082126019,0.039669297069846066,0.045269285780821455
sorting,n=3,Logistic,QMC-latin,none,False,1000,64,0.032531846439287415,0.008533177817553578,0.03040032204061792,0.03466337083795691
sorting,n=3,Logistic,QMC-latin,f(x),False,1000,64,0.032531846439287415,0.00853317781755358,0.03040032204061792,0.03466337083795691
sorting,n=3,Logistic,QMC-latin,LOO,False,1000,64,0.03255551555856601,0.00855120830040192,0.030419487279286884,0.034691543837845146
sorting,n=3,Logistic,QMC-latin,none,True,1000,64,0.03684199200762277,0.010720152928081067,0.03416417748034691,0.03951980653489862
sorting,n=3,Logistic,QMC-latin,f(x),True,1000,64,0.03684199200762277,0.010720152928081067,0.03416417748034691,0.03951980653489862
sorting,n=3,Logistic,QMC-latin,LOO,True,1000,64,0.0368871929709408,0.010730295774983033,0.03420684483589235,0.03956754110598925
sorting,n=3,Logistic,RQMC-latin,none,False,1000,64,0.034409641396193666,0.008870801956329773,0.0321937809969429,0.03662550179544443
sorting,n=3,Logistic,RQMC-latin,f(x),False,1000,64,0.034407921622023926,0.008869769112055883,0.03219231921959649,0.03662352402445136
sorting,n=3,Logistic,RQMC-latin,LOO,False,1000,64,0.034441313478429776,0.008855548996386015,0.032229263155210144,0.03665336380164941
sorting,n=3,Logistic,RQMC-latin,none,True,1000,64,0.03603733349272807,0.010986399340650547,0.03329301259038493,0.03878165439507121
sorting,n=3,Logistic,RQMC-latin,f(x),True,1000,64,0.03603733349272807,0.010986399340650545,0.03329301259038493,0.03878165439507121
sorting,n=3,Logistic,RQMC-latin,LOO,True,1000,64,0.03608374719378882,0.01098589379145574,0.033339552573877204,0.03882794181370043
sorting,n=3,Logistic,RQMC-cartesian,none,False,1000,64,0.016255290526876923,0.0037035521289859982,0.015330170730540457,0.017180410323213387
sorting,n=3,Logistic,RQMC-cartesian,f(x),False,1000,64,0.016562093790641618,0.004001147159335966,0.015562636967505023,0.01756155061377821
sorting,n=3,Logistic,RQMC-cartesian,LOO,False,1000,64,0.01597415896581181,0.0037536187624150996,0.015036532896549234,0.01691178503507439
sorting,n=3,Logistic,RQMC-cartesian,none,True,1000,64,0.015881297823656472,0.003599154459263177,0.014982255789313982,0.016780339857998962
sorting,n=3,Logistic,RQMC-cartesian,f(x),True,1000,64,0.01588129782365647,0.0035991544592631746,0.014982255789313979,0.01678033985799896
sorting,n=3,Logistic,RQMC-cartesian,LOO,True,1000,64,0.015900638527047557,0.0036054713405619674,0.015000018582704859,0.016801258471390256
sorting,n=3,Gumbel,MC,none,False,1000,64,0.0867158681913523,0.021470205176273426,0.08135277050885406,0.09207896587385053
sorting,n=3,Gumbel,MC,f(x),False,1000,64,0.09232196661762043,0.028955802650663557,0.08508902232036411,0.09955491091487675
sorting,n=3,Gumbel,MC,LOO,False,1000,64,0.0705967587944873,0.016711129909942096,0.06642244274319127,0.07477107484578334
sorting,n=3,Gumbel,QMC-latin,none,False,1000,64,0.056245387487862515,0.014568772989119183,0.05260621627299527,0.05988455870272976
sorting,n=3,Gumbel,QMC-latin,f(x),False,1000,64,0.05629356641511128,0.014630877843305724,0.052638881869243,0.05994825096097956
sorting,n=3,Gumbel,QMC-latin,LOO,False,1000,64,0.05631893981077997,0.01458402091852188,0.052675959776473366,0.05996191984508657
sorting,n=3,Gumbel,RQMC-latin,none,False,1000,64,0.058652936450667055,0.018586210343476926,0.05401023924301852,0.06329563365831559
sorting,n=3,Gumbel,RQMC-latin,f(x),False,1000,64,0.058595589954171745,0.018603189289166124,0.05394865153208071,0.06324252837626278
sorting,n=3,Gumbel,RQMC-latin,LOO,False,1000,64,0.0586528420280053,0.01861099857814656,0.054003952903567035,0.06330173115244357
sorting,n=3,Gumbel,RQMC-cartesian,none,False,1000,64,0.04149994360709525,0.008129019307370573,0.039469375000488686,0.04353051221370181
sorting,n=3,Gumbel,RQMC-cartesian,f(x),False,1000,64,0.04425160477923523,0.012358960051517941,0.041164428412442416,0.04733878114602805
sorting,n=3,Gumbel,RQMC-cartesian,LOO,False,1000,64,0.0378043647220381,0.00876775131102605,0.03561424560809276,0.039994483835983446
sorting,n=3,Cauchy,MC,none,False,1000,64,0.06812128341920298,0.015179145577363485,0.06432964566819425,0.07191292117021171
sorting,n=3,Cauchy,MC,f(x),False,1000,64,0.07251149260746127,0.021534033363679744,0.06713245111813183,0.07789053409679071
sorting,n=3,Cauchy,MC,LOO,False,1000,64,0.052920987903504996,0.012757666138012595,0.04973421771956317,0.05610775808744682
sorting,n=3,Cauchy,MC,none,True,1000,64,0.05619240589198733,0.015871750800756593,0.05222776050374509,0.06015705128022957
sorting,n=3,Cauchy,MC,f(x),True,1000,64,0.05619240589198733,0.015871750800756593,0.05222776050374509,0.06015705128022957
sorting,n=3,Cauchy,MC,LOO,True,1000,64,0.056283785604204495,0.015856146968666548,0.05232303793724778,0.06024453327116121
sorting,n=3,Cauchy,QMC-latin,none,False,1000,64,0.04684577735402583,0.011559908230912559,0.04395819819331936,0.0497333565147323
sorting,n=3,Cauchy,QMC-latin,f(x),False,1000,64,0.04684577735402583,0.011559908230912555,0.04395819819331936,0.0497333565147323
